Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
America's Army: Rise of a Soldier,XB,2005.0,Shooter,Ubisoft,0.19,0.05,0.0,0.01,0.25,70.0,19.0,7.4,21.0,Secret Level,-1
Carnage Heart,PS,1995.0,Strategy,Sony Computer Entertainment,0.01,0.01,0.09,0.01,0.11,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Lego Batman 3: Beyond Gotham,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0.0,0.15,0.93,73.0,43.0,7.1,75.0,TT Games,-1
The Sims 3,PS3,2010.0,Simulation,Electronic Arts,0.73,0.89,0.02,0.3,1.94,78.0,39.0,6.4,55.0,The Sims Studio,-1
Risen 2: Dark Waters,PS3,2012.0,Role-Playing,Deep Silver,0.04,0.13,0.01,0.04,0.22,47.0,13.0,5.2,37.0,Piranha Bytes,-1
Backyard NBA Basketball,PS2,2003.0,Sports,Atari,0.29,0.22,0.0,0.07,0.59,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Ghostbusters: The Video Game (DS Version),PS3,2010.0,Action,Take-Two Interactive,0.6,0.96,0.13,0.36,2.05,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Ashes Cricket 2009,Wii,2009.0,Sports,Codemasters,0.0,0.22,0.0,0.01,0.23,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Get Up and Dance,PS3,2011.0,Misc,O-Games,0.03,0.0,0.0,0.0,0.04,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Crave,-1
Sammy Sosa High Heat Baseball 2001,PS,2000.0,Sports,3DO,0.32,0.22,0.0,0.04,0.58,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Disney's Party,GC,2002.0,Misc,Electronic Arts,0.04,0.01,0.0,0.0,0.05,39.0,6.0,7.8,5.0,Neverland,-1
World Soccer Winning Eleven 9 Bonus Pack,PS2,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
From TV Animation One Piece: Grand Battle! 3,PS2,2003.0,Fighting,Namco Bandai Games,0.0,0.0,0.32,0.0,0.32,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Samurai Warriors Chronicles 3,3DS,2014.0,Action,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,63.0,13.0,6.1,10.0,Omega Force,-1
Power Pro Kun Pocket 2,GB,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.25,0.0,0.25,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Resident Evil Director's Cut,PS,1996.0,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
From Russia With Love,XB,2005.0,Action,Electronic Arts,0.15,0.04,0.0,0.01,0.2,71.0,34.0,8.8,12.0,Electronic Arts,-1
Vampire Knight DS,DS,2009.0,Adventure,D3Publisher,0.0,0.0,0.07,0.0,0.07,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Black Bass with Blue Marlin,PS,1999.0,Sports,Starfish,0.06,0.04,0.0,0.01,0.11,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Wolfenstein,X360,2009.0,Shooter,Activision,0.28,0.22,0.0,0.06,0.56,72.0,66.0,7.5,128.0,"id Software, Raven Software",-1
Airline Tycoon 2,PC,2011.0,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05,57.0,4.0,5.5,30.0,Kalypso,-1
SSX Tricky,GC,2001.0,Sports,Electronic Arts,0.42,0.11,0.0,0.01,0.54,87.0,20.0,8.6,18.0,EA Sports Big,-1
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007.0,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,86.0,58.0,8.1,89.0,"Red Storm Entertainment, Ubisoft Paris",-1
Rio,PS3,2011.0,Misc,THQ,0.04,0.07,0.0,0.02,0.14,65.0,8.0,tbd,174.26426229508198,Eurocom Entertainment Software,-1
Hot Shots Tennis: Get a Grip,PSP,2010.0,Sports,Sony Computer Entertainment,0.07,0.0,0.13,0.01,0.21,80.0,27.0,8,17.0,Clap Hanz,-1
Bratz: The Movie,PS2,2007.0,Simulation,THQ,0.24,0.18,0.0,0.06,0.48,69.11349693251533,26.168098159509203,5,4.0,Blitz Games,-1
Duke Nukem 3D: 20th Anniversary World Tour,XOne,2016.0,Shooter,Gearbox Software,0.02,0.0,0.0,0.0,0.03,70.0,4.0,tbd,174.26426229508198,Gearbox Software,-1
Act of Aggression,PC,2015.0,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,71.0,37.0,7.1,93.0,Eugen Systems,-1
Memories Off #5: Togireta Film,PSP,2009.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Rune Factory 3: A Fantasy Harvest Moon,DS,2009.0,Role-Playing,Rising Star Games,0.26,0.03,0.1,0.02,0.4,77.0,10.0,8.6,46.0,Neverland,-1
Just Dance 4,X360,2012.0,Misc,Ubisoft,0.9,0.19,0.0,0.09,1.18,77.0,23.0,7.7,36.0,Ubisoft,-1
Max Payne,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31,80.0,21.0,8.5,86.0,Rockstar Toronto,-1
Bully: Scholarship Edition,PC,2008.0,Action,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,72.0,11.0,7.5,257.0,"Mad Doc Software, Rockstar Vancouver",-1
Combat Elite: WWII Paratroopers,PS2,2006.465307364577,Shooter,Unknown,0.03,0.02,0.0,0.01,0.06,54.0,12.0,tbd,174.26426229508198,BattleBorne,-1
Mortal Kombat: Deadly Alliance,GBA,2002.0,Fighting,Midway Games,0.01,0.0,0.0,0.0,0.01,81.0,12.0,8.8,9.0,Criterion Games,-1
Turok: Dinosaur Hunter,N64,1997.0,Shooter,Acclaim Entertainment,0.0,0.0,0.05,0.0,0.05,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Star Ocean: The Last Hope,X360,2009.0,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79,72.0,56.0,7.2,150.0,"Square Enix, Tri-Ace",-1
Yu-Gi-Oh! World Championship 2007,DS,2007.0,Strategy,Konami Digital Entertainment,0.0,0.01,0.04,0.0,0.05,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Fatal Fury Special,SNES,1994.0,Fighting,Takara,0.0,0.0,0.56,0.0,0.56,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8,192.0,Nintendo,-1
Dawn of Discovery,Wii,2009.0,Simulation,Ubisoft,0.12,0.06,0.0,0.02,0.19,81.0,24.0,8.5,15.0,Keen Games,-1
Harvest Moon: A Wonderful Life,GC,2003.0,Role-Playing,Ubisoft,0.61,0.16,0.0,0.02,0.79,79.0,28.0,8.9,148.0,Marvelous,-1
Tomb Raider: Underworld,PS2,2009.0,Action,Eidos Interactive,0.09,0.04,0.0,0.05,0.18,69.11349693251533,26.168098159509203,5.8,30.0,Crystal Dynamics,-1
Lux-Pain,DS,2008.0,Adventure,Rising Star Games,0.04,0.0,0.0,0.0,0.04,48.0,33.0,6.2,18.0,Killaware,-1
Dynasty Warriors Gundam,X360,2007.0,Action,Namco Bandai Games,0.15,0.01,0.02,0.01,0.19,55.0,34.0,6.8,20.0,"Koei, Omega Force",-1
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo,-1
World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,69.11349693251533,26.168098159509203,8.2,23.0,Konami,-1
Harry Potter and the Half-Blood Prince,PS3,2009.0,Action,Electronic Arts,0.15,0.12,0.0,0.05,0.33,66.0,35.0,7.1,17.0,EA Bright Light,-1
Cabela's Dangerous Hunts,XB,2003.0,Sports,Zoo Digital Publishing,0.26,0.08,0.0,0.01,0.35,69.11349693251533,26.168098159509203,9.1,22.0,FUN Labs,-1
Muchi Muchi Pork & Pink Sweets,X360,2011.0,Shooter,Cave,0.0,0.0,0.02,0.0,0.02,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
NCAA Final Four 2001,PS2,2000.0,Sports,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,49.0,10.0,tbd,174.26426229508198,989 Sports,-1
Saint Seiya: Soldiers' Soul,PS3,2015.0,Fighting,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,69.11349693251533,26.168098159509203,6.3,4.0,Dimps Corporation,-1
Blur,PS3,2010.0,Racing,Activision,0.22,0.36,0.02,0.12,0.72,81.0,58.0,8.2,86.0,Bizarre Creations,-1
Jikkyou Powerful Pro Yakyuu 14,PS2,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Learning to Spell,DS,2010.0,Misc,505 Games,0.16,0.0,0.0,0.01,0.17,69.11349693251533,26.168098159509203,tbd,174.26426229508198,505 Games,-1
Risen,PC,2009.0,Role-Playing,Deep Silver,0.0,0.11,0.0,0.02,0.14,77.0,32.0,8.1,676.0,Piranha Bytes,-1
The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994.0,Action,Banpresto,0.0,0.0,0.03,0.0,0.03,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Wangan Midnight Portable,PSP,2007.0,Racing,Genki,0.0,0.0,0.02,0.0,0.02,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Sonic Riders,XB,2006.0,Racing,Sega,0.1,0.03,0.0,0.0,0.13,56.0,33.0,8.1,7.0,Sonic Team,-1
Pokemon Box: Ruby & Sapphire,GC,2003.0,Misc,Nintendo,0.0,0.0,0.27,0.01,0.28,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Ultimate Marvel vs. Capcom 3,PS3,2011.0,Fighting,Capcom,0.0,0.04,0.04,0.01,0.09,80.0,36.0,6.2,114.0,Capcom,-1
F1 2002,GC,2002.0,Racing,Electronic Arts,0.02,0.01,0.0,0.0,0.03,72.0,7.0,7.8,4.0,EA Sports,-1
Ice Age 2: The Meltdown,XB,2006.0,Platform,Vivendi Games,0.07,0.02,0.0,0.0,0.1,68.0,16.0,tbd,174.26426229508198,Vivendi Games,-1
Soul Eater: Plot of Medusa,DS,2008.0,Action,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Sega Casino,DS,2005.0,Misc,Sega,0.08,0.0,0.0,0.01,0.09,61.0,13.0,tbd,174.26426229508198,TOSE,-1
Iron Phoenix,XB,2005.0,Fighting,Sega,0.02,0.0,0.0,0.0,0.02,58.0,11.0,6.5,4.0,InterServ International,-1
LEGO The Lord of the Rings,Wii,2012.0,Action,Warner Bros. Interactive Entertainment,0.48,0.34,0.0,0.07,0.9,69.11349693251533,26.168098159509203,7.2,21.0,TT Games,-1
Terraria,XOne,2014.0,Action,505 Games,0.0,0.04,0.0,0.0,0.04,84.0,5.0,7.7,29.0,Engine Software,-1
Kingdom Under Fire: Heroes,XB,2005.0,Strategy,Deep Silver,0.11,0.03,0.0,0.01,0.15,78.0,55.0,7.5,23.0,Phantagram,-1
Manhunt,XB,2004.0,Action,Take-Two Interactive,0.14,0.04,0.0,0.01,0.19,74.0,37.0,7.9,19.0,Rockstar North,-1
Aegis of Earth: Protonovus Assault,PSV,2016.0,Action,PQube,0.01,0.01,0.0,0.01,0.03,69.11349693251533,26.168098159509203,8.3,8.0,Acquire,-1
Transport Fever,PC,2016.0,Simulation,Astragon,0.0,0.03,0.0,0.0,0.04,70.0,11.0,7,28.0,Urban Games,-1
Legacy of Kain: Soul Reaver,PS,2006.465307364577,Action,Eidos Interactive,0.58,0.4,0.0,0.07,1.04,91.0,17.0,9,132.0,Crystal Dynamics,-1
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,0.13,0.05,0.0,0.0,0.18,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Galaga: Destination Earth,PS,2000.0,Shooter,Hasbro Interactive,0.13,0.09,0.0,0.02,0.24,69.11349693251533,26.168098159509203,8,10.0,Hasbro Interactive,-1
DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage,DS,2008.0,Adventure,Tecmo Koei,0.0,0.0,0.07,0.0,0.07,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Nendoroid Generation,PSP,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Samurai Shodown II,NG,1994.0,Fighting,SNK,0.0,0.0,0.25,0.0,0.25,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Sniper: Ghost Warrior,PS3,2011.0,Shooter,City Interactive,0.27,0.34,0.04,0.13,0.79,53.0,17.0,6,34.0,City Interactive,-1
Def Jam Fight For NY: The Takeover,PSP,2006.0,Action,Electronic Arts,0.08,0.0,0.0,0.01,0.09,79.0,25.0,8.2,16.0,Aki Corp.,-1
Avatar: The Last Airbender - The Burning Earth,Wii,2007.0,Action,THQ,0.23,0.0,0.0,0.02,0.25,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Little Bears,DS,2009.0,Simulation,RTL,0.03,0.0,0.0,0.0,0.03,69.11349693251533,26.168098159509203,tbd,174.26426229508198,B-Alive,-1
Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009.0,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13,36.0,8.0,4.8,4.0,Ubisoft,-1
National Geographic Challenge!,Wii,2011.0,Misc,Black Bean Games,0.07,0.02,0.0,0.01,0.09,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Lunar: Silver Star Story Complete,PS,1998.0,Role-Playing,Kadokawa Shoten,0.27,0.18,0.06,0.04,0.55,78.0,15.0,9.1,35.0,Game Arts,-1
NBA 2K11,X360,2010.0,Action,Take-Two Interactive,1.84,0.12,0.01,0.13,2.09,89.0,50.0,8.1,100.0,Visual Concepts,-1
Katekyoo Hitman Reborn! Kindan no Yami no Delta,PS2,2008.0,Action,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Cabela's North American Adventures,PSP,2010.0,Sports,Activision,0.09,0.0,0.0,0.01,0.1,69.11349693251533,26.168098159509203,7.8,5.0,FUN Labs,-1
Frogger's Adventures: Temple of the Frog,GBA,2006.465307364577,Adventure,Konami Digital Entertainment,2.15,0.18,0.0,0.07,2.39,73.0,4.0,tbd,174.26426229508198,Konami Computer Entertainment Hawaii,-1
Rugby 06,PS2,2006.0,Sports,Electronic Arts,0.02,0.02,0.0,0.01,0.05,70.0,6.0,7.8,27.0,EA Canada,-1
Way of the Samurai 3,PS3,2008.0,Action,Gamebridge,0.18,0.08,0.22,0.04,0.52,58.0,18.0,7.9,22.0,Acquire,-1
LEGO Harry Potter: Years 1-4,DS,2010.0,Action,Warner Bros. Interactive Entertainment,1.07,0.99,0.0,0.22,2.28,72.0,7.0,7.2,6.0,TT Fusion,-1
Momotarou Dentetsu Tag Match: Yuujou - Doryoku - Shouri no Maki!,PSP,2010.0,Misc,Hudson Soft,0.0,0.0,0.07,0.0,0.07,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Sleepover Party,Wii,2009.0,Misc,Ubisoft,0.03,0.0,0.0,0.0,0.04,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010.0,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.24,61.0,27.0,5.4,101.0,Gust,-1
Harukanaru Toki no Naka de 4,PS2,2008.0,Adventure,Tecmo Koei,0.0,0.0,0.07,0.0,0.07,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Dead or Alive 5,XOne,2015.0,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.09,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
PoPoLoCrois Monogatari,PS,1996.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.46,0.03,0.5,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Crash: Mind Over Mutant,X360,2008.0,Platform,Vivendi Games,0.22,0.2,0.0,0.05,0.47,60.0,42.0,6.5,23.0,Radical Entertainment,-1
Tom Clancy's Splinter Cell: Pandora Tomorrow,GC,2004.0,Action,Ubisoft,0.06,0.02,0.0,0.0,0.08,78.0,25.0,8,11.0,Ubisoft,-1
Castlevania: Curse of Darkness,XB,2005.0,Action,Konami Digital Entertainment,0.09,0.03,0.0,0.0,0.12,74.0,26.0,7,13.0,Konami,-1
World Championship Poker: Howard Lederer - All In,PSP,2006.0,Misc,505 Games,0.13,0.0,0.0,0.01,0.14,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
New Super Luigi U,WiiU,2013.0,Platform,Nintendo,1.25,0.62,0.18,0.18,2.24,77.0,59.0,7.9,288.0,Nintendo,-1
The Mummy: Tomb of the Dragon Emperor,PS2,2008.0,Action,Vivendi Games,0.12,0.1,0.0,0.03,0.25,38.0,7.0,6.8,6.0,Eurocom Entertainment Software,-1
Happy Dance Collection,Wii,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
God of War Saga,PS3,2012.0,Action,Sony Computer Entertainment,0.73,0.0,0.0,0.1,0.82,69.11349693251533,26.168098159509203,8.3,52.0,"Ready at Dawn, SCE Santa Monica",-1
Sushi Go-Round,Wii,2010.0,Simulation,Asylum Entertainment,0.04,0.0,0.0,0.0,0.05,69.11349693251533,26.168098159509203,tbd,174.26426229508198,SouthPeak Games,-1
Final Doom,PS,1995.0,Shooter,GT Interactive,0.15,0.1,0.0,0.02,0.27,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Dance Dance Revolution (Japan),PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,1.26,0.09,1.35,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Frogger,2600,1981.0,Action,Parker Bros.,2.06,0.12,0.0,0.02,2.2,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Tony Hawk's Underground,XB,2003.0,Sports,Activision,0.85,0.37,0.0,0.05,1.27,85.0,33.0,9.1,26.0,Neversoft Entertainment,-1
The Walking Dead: Season Two,XOne,2014.0,Adventure,Telltale Games,0.08,0.05,0.0,0.01,0.14,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9,233.0,Naughty Dog,-1
Katamari Forever,PS3,2009.0,Puzzle,Namco Bandai Games,0.26,0.04,0.06,0.04,0.4,74.0,51.0,8.1,50.0,Bandai Namco Games,-1
Way of the Samurai 3,X360,2009.0,Action,Gamebridge,0.12,0.05,0.02,0.02,0.21,55.0,22.0,6.8,16.0,Acquire,-1
FIFA 14,3DS,2013.0,Sports,Electronic Arts,0.0,0.22,0.0,0.01,0.24,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Batman: Return to Arkham,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0.0,0.04,0.26,73.0,28.0,8.5,79.0,"Rocksteady Studios, Virtuos",-1
Street Fighter Alpha 2,SNES,1996.0,Fighting,Nintendo,0.0,0.0,0.17,0.0,0.17,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Konami Classics Series: Arcade Hits,DS,2007.0,Misc,Konami Digital Entertainment,0.01,0.0,0.02,0.0,0.03,76.0,29.0,tbd,174.26426229508198,M2,-1
"Hanayaka Kana, Ware ga Ichizoku Twin Pack",PSP,2011.0,Misc,Idea Factory,0.0,0.0,0.03,0.0,0.03,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
All-Star Baseball 2003,GBA,2002.0,Sports,Acclaim Entertainment,0.11,0.04,0.0,0.0,0.15,77.0,6.0,tbd,174.26426229508198,Software Creations,-1
Rock Band Track Pack Volume 1,PS2,2008.0,Misc,MTV Games,0.06,0.05,0.0,0.02,0.13,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Harmonix Music Systems,-1
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,-1
Bass Hunter 64,N64,1999.0,Sports,Take-Two Interactive,0.25,0.06,0.0,0.0,0.31,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
WWF War Zone,N64,1998.0,Fighting,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Freedom Fighters,XB,2003.0,Shooter,Electronic Arts,0.17,0.05,0.0,0.01,0.23,82.0,23.0,8.2,23.0,Io Interactive,-1
Super Robot Taisen MX,PS2,2004.0,Strategy,Banpresto,0.0,0.0,0.5,0.0,0.5,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Strawberry Shortcake: Summertime Adventure,GBA,2004.0,Adventure,Majesco Entertainment,0.47,0.18,0.0,0.01,0.66,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Gorilla Systems,-1
Empire Earth III,PC,2007.0,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.04,50.0,40.0,2.8,53.0,Mad Doc Software,-1
City Builder,Wii,2010.0,Misc,Virtual Play Games,0.04,0.0,0.0,0.0,0.04,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Collision Studios,-1
4 Elements,PC,2009.0,Puzzle,Mastertronic,0.0,0.04,0.0,0.01,0.05,69.11349693251533,26.168098159509203,7.4,19.0,Playrix Entertainment,-1
Castlevania: Aria of Sorrow,GBA,2003.0,Platform,Konami Digital Entertainment,0.2,0.07,0.0,0.0,0.28,91.0,29.0,9.1,127.0,KCET,-1
Patapon 3,PSP,2011.0,Misc,Sony Computer Entertainment,0.05,0.03,0.17,0.02,0.27,74.0,41.0,7.2,35.0,SCE Japan Studio,-1
Gameboy Gallery,GB,1995.0,Misc,Nintendo,0.0,0.0,0.3,0.0,0.3,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
TOCA Race Driver 3,PS2,2006.0,Racing,Codemasters,0.04,0.03,0.0,0.01,0.08,82.0,26.0,7.2,15.0,Codemasters,-1
Majesty 2: The Fantasy Kingdom Sim,PC,2009.0,Simulation,Paradox Interactive,0.01,0.0,0.0,0.0,0.02,72.0,31.0,7.3,129.0,"1C, Ino-Co, 1C Company",-1
Wayne Gretzky's 3D Hockey '98,PS,1997.0,Sports,GT Interactive,0.03,0.02,0.0,0.0,0.05,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Haunted Casino,SAT,1996.0,Adventure,Societa,0.0,0.0,0.04,0.0,0.04,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Doraemon,NES,1986.0,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Green Day: Rock Band,X360,2010.0,Misc,MTV Games,0.24,0.13,0.0,0.04,0.41,75.0,54.0,6.6,32.0,"Harmonix Music Systems, Demiurge Studios",-1
Hulk Hogan's Main Event,X360,2011.0,Fighting,505 Games,0.1,0.02,0.0,0.01,0.13,26.0,4.0,2.2,20.0,Panic Button,-1
S.L.A.I.: Steel Lancer Arena International,PS2,2005.0,Simulation,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.03,66.0,16.0,7.8,10.0,Genki,-1
Super Monkey Ball Deluxe,XB,2005.0,Misc,Sega,0.11,0.03,0.0,0.01,0.15,81.0,25.0,8.2,9.0,Sega,-1
Elf: The Movie,GBA,2004.0,Action,Crave Entertainment,0.1,0.04,0.0,0.0,0.15,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Human Soft,-1
Rocket Power: Beach Bandits,PS2,2002.0,Platform,THQ,0.4,0.31,0.0,0.1,0.82,69.11349693251533,26.168098159509203,6.6,13.0,Evolution Games,-1
James Noir's Hollywood Crimes,3DS,2011.0,Adventure,Ubisoft,0.07,0.07,0.0,0.01,0.15,60.0,22.0,6.6,5.0,Ubisoft,-1
Final Fantasy I & II,NES,1994.0,Role-Playing,Square,0.0,0.0,0.11,0.0,0.11,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
The Walking Dead: Season One,X360,2012.0,Adventure,Avanquest Software,0.55,0.13,0.0,0.05,0.73,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Thoroughbred Breeder II Plus,PS,1995.0,Simulation,Hect,0.0,0.0,0.04,0.0,0.04,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Rory McIlroy PGA Tour,XOne,2015.0,Action,Electronic Arts,0.16,0.09,0.0,0.02,0.27,60.0,26.0,4.3,77.0,EA Tiburon,-1
SD Gundam Force,GBA,2004.0,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.02,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Bandai,-1
Dynasty Warriors Vol. 2 (JP sales),PSP,2006.0,Action,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Samurai Warriors 2: Xtreme Legends,PS2,2007.0,Action,Tecmo Koei,0.04,0.03,0.0,0.01,0.09,50.0,11.0,8,9.0,Koei,-1
Big Beach Sports 2,Wii,2006.465307364577,Sports,THQ,0.09,0.11,0.0,0.02,0.23,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Jet Black Games,-1
San Goku Shi DS 2,DS,2007.0,Strategy,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Rapala Pro Fishing,GBA,2004.0,Sports,Zoo Digital Publishing,0.04,0.02,0.0,0.0,0.06,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Torus Games,-1
Harvest Moon 64,N64,1999.0,Simulation,Pack In Soft,0.25,0.06,0.11,0.06,0.48,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
Fantastic 4,XB,2005.0,Action,Activision,0.2,0.06,0.0,0.01,0.27,62.0,46.0,6.6,8.0,7 Studios,-1
Dragon Ball Z: La Legende Saien,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2,69.11349693251533,26.168098159509203,tbd,174.26426229508198,Ubisoft,-1
